sentence,drug,drug_start,drug_end,effect,effect_start,effect_end
We conclude that low-dose HU therapy in patients with thalassemia intermedia may increase total Hb levels sufficiently to eliminate the need for transfusions.,HU,26,28,increase total Hb,81,98
"We describe the clinical response, as determined by increases in total Hb and decreased transfusion needs, in five patients with thalassemia intermedia treated with HU alone or in combination with SPB.",HU,165,167,increases in total Hb,52,73
"We describe the clinical response, as determined by increases in total Hb and decreased transfusion needs, in five patients with thalassemia intermedia treated with HU alone or in combination with SPB.",SPB,197,200,increases in total Hb,52,73
"A 36-y-o patient with schizophrenia, who had consumed gradually increasing quantities of oolong tea that eventually reached 15 L each day, became delirious and was admitted to a psychiatric hospital.",oolong tea,89,99,delirious,146,155
After abstinence from oolong tea his delirium resolved.,oolong tea,22,32,delirium,37,45
Severe rhabdomyolysis following massive ingestion of oolong tea: caffeine intoxication with coexisting hyponatremia.,caffeine,65,73,caffeine intoxication,65,86
Severe rhabdomyolysis following massive ingestion of oolong tea: caffeine intoxication with coexisting hyponatremia.,oolong tea,53,63,caffeine intoxication,65,86
Severe rhabdomyolysis following massive ingestion of oolong tea: caffeine intoxication with coexisting hyponatremia.,caffeine,65,73,rhabdomyolysis,7,21
Severe rhabdomyolysis following massive ingestion of oolong tea: caffeine intoxication with coexisting hyponatremia.,oolong tea,53,63,rhabdomyolysis,7,21
"The clinical course suggests that caffeine, which is present in oolong tea, was mainly responsible for the rhabdomyolysis as well as the delirium, although severe hyponatremia has been reported to cause rhabdomyolysis on rare occasions.",caffeine,34,42,delirium,137,145
"The clinical course suggests that caffeine, which is present in oolong tea, was mainly responsible for the rhabdomyolysis as well as the delirium, although severe hyponatremia has been reported to cause rhabdomyolysis on rare occasions.",caffeine,34,42,hyponatremia,163,175
"The clinical course suggests that caffeine, which is present in oolong tea, was mainly responsible for the rhabdomyolysis as well as the delirium, although severe hyponatremia has been reported to cause rhabdomyolysis on rare occasions.",caffeine,34,42,rhabdomyolysis,107,121
"The clinical course suggests that caffeine, which is present in oolong tea, was mainly responsible for the rhabdomyolysis as well as the delirium, although severe hyponatremia has been reported to cause rhabdomyolysis on rare occasions.",caffeine,34,42,rhabdomyolysis,107,121
The possibility of severe rhabdomyolysis should be considered in a patient with water intoxication due to massive ingestion of caffeine-containing beverages.,caffeine,127,135,rhabdomyolysis,26,40
The possibility of severe rhabdomyolysis should be considered in a patient with water intoxication due to massive ingestion of caffeine-containing beverages.,caffeine,127,135,water intoxication,80,98
"We hypothesize that caffeine toxicity injured the muscle cells, which were fragile due to the potassium depletion induced by the coexisting hyponatremia, to result in unusually severe rhabdomyolysis.",caffeine,20,28,caffeine toxicity,20,37
"We hypothesize that caffeine toxicity injured the muscle cells, which were fragile due to the potassium depletion induced by the coexisting hyponatremia, to result in unusually severe rhabdomyolysis.",caffeine,20,28,coexisting hyponatremia,129,152
"We hypothesize that caffeine toxicity injured the muscle cells, which were fragile due to the potassium depletion induced by the coexisting hyponatremia, to result in unusually severe rhabdomyolysis.",caffeine,20,28,injured the muscle cells,38,62
"We hypothesize that caffeine toxicity injured the muscle cells, which were fragile due to the potassium depletion induced by the coexisting hyponatremia, to result in unusually severe rhabdomyolysis.",caffeine,20,28,potassium depletion,94,113
"We hypothesize that caffeine toxicity injured the muscle cells, which were fragile due to the potassium depletion induced by the coexisting hyponatremia, to result in unusually severe rhabdomyolysis.",caffeine,20,28,rhabdomyolysis,184,198
"After the addition of citalopram, a desmethylclomipramine plasma level increase and an 8-hydroacy-desmethylclomipramine plasma level decrease were observed.",citalopram,22,32,8-hydroacy-desmethylclomipramine plasma level decrease,87,141
"After the addition of citalopram, a desmethylclomipramine plasma level increase and an 8-hydroacy-desmethylclomipramine plasma level decrease were observed.",citalopram,22,32,desmethylclomipramine plasma level increase,36,79
We report 3 cases of HIV-1 infected patients who experienced symptomatic angiolipomas shortly after starting antiretroviral therapy including the protease inhibitor indinavir.,indinavir,165,174,angiolipomas,73,85
Elevated serum triglycerides with clozapine resolved with risperidone in four patients.,clozapine,34,43,Elevated serum triglycerides,0,28
In two patients clozapine was reinstated after risperidone was discontinued; serum triglyceride levels increased.,clozapine,16,25,serum triglyceride levels increased,77,112
This increase when clozapine was switched to risperidone and vice versa is consistent with our previous report of elevated serum triglyceride levels in clozapine-treated patients.,clozapine,19,28,elevated serum triglyceride levels,114,148
Intravenous valproate associated with significant hypotension in the treatment of status epilepticus.,valproate,12,21,hypotension,50,61
"To our knowledge, this is the first report of significant hypotension associated with intravenous valproate in the treatment of status epilepticus in the pediatric population.",valproate,98,107,hypotension,58,69
We report a case of severe hypotension associated with intravenous valproate used to treat status epilepticus in an 11-year-old girl.,valproate,67,76,hypotension,27,38
In both patients the rippling phenomena worsened with pyridostigmine treatment but markedly improved after immunosuppression with azathioprine.,pyridostigmine,54,68,rippling phenomena worsened,21,48
A diagnosis of masked theophylline poisoning should be considered in similar situations involving a rapid decrease of insulin requirements.,theophylline,22,34,theophylline poisoning,22,44
"Salicylate intoxication was excluded, and theophylline was finally incriminated.",theophylline,42,54,intoxication,11,23
Theophylline intoxication mimicking diabetic ketoacidosis in a child.,Theophylline,0,12,Theophylline intoxication,0,25
"This compound, used by adults in the child's home, had caused accidental theophylline poisoning, mimicking diabetic ketoacidosis.",theophylline,73,85,theophylline poisoning,73,95
Methylene blue in the treatment and prevention of ifosfamide-induced encephalopathy: report of 12 cases and a review of the literature.,ifosfamide,50,60,ifosfamide-induced encephalopathy,50,83
Ten to 15% of patients treated with ifosfamide develop an encephalopathy.,ifosfamide,36,46,encephalopathy,58,72
We conclude that MB is an effective treatment for ifosfamide-induced encephalopathy.,ifosfamide,50,60,ifosfamide-induced encephalopathy,50,83
Portal vein thrombosis in a patient with severe haemophilia A and F V G1691A mutation during continuous infusion of F VIII after intramural jejunal bleeding--successful thrombolysis under heparin therapy.,F VIII,116,122,Portal vein thrombosis,0,22
We report on a 14-year-old boy with severe haemophilia A who developed a portal vein thrombosis during continuous infusion of F VIII.,F VIII,126,132,portal vein thrombosis,73,95
A 60-year-old woman with diabetes mellitus (type 2) developed an acute icteric hepatitis-like illness 6 weeks after the initiation of gliclazide therapy.,gliclazide,134,144,acute icteric hepatitis-like illness,65,101
Gliclazide-induced acute hepatitis.,Gliclazide,0,10,acute hepatitis,19,34
"In conclusion, this case strongly suggests that gliclazide can induce acute icteric liver necro-inflammation which may be misdiagnosed clinically as acute viral hepatitis.",gliclazide,48,58,acute icteric liver necro-inflammation,70,108
We believe that this is the first description of acute hepatitis caused by an idiosyncratic adverse reaction to gliclazide or to one of its metabolites.,gliclazide,112,122,acute hepatitis,49,64
"We describe the case of acute hepatitis induced by gliclazide, a second generation sulfonylurea.",gliclazide,51,61,acute hepatitis,24,39
"Caution is, therefore, needed to prevent undesired accumulation of TCA that may lead to protracted Cushing's syndrome.",TCA,67,70,Cushing's syndrome,99,117
Cushing's syndrome persisted more than 6 months while TCA concentrations remained detectable for at least 80 days.,TCA,54,57,Cushing's syndrome,0,18
"The presented patient was treated with 200 mg TCA and developed Cushing's syndrome 6 weeks later (cortisol and ACTH concentrations were below limits of detection, TCA concentrations were > 3 micrograms/l).",TCA,46,49,Cushing's syndrome,64,82
"Both had impaired lung function and abnormal computed tomographic scans, and their condition improved when nitrofurantoin was withdrawn and corticosteroid treatment commenced.",nitrofurantoin,107,121,abnormal computed tomographic scans,36,71
"Both had impaired lung function and abnormal computed tomographic scans, and their condition improved when nitrofurantoin was withdrawn and corticosteroid treatment commenced.",nitrofurantoin,107,121,impaired lung function,9,31
Bronchiolitis obliterans organising pneumonia associated with the use of nitrofurantoin.,nitrofurantoin,73,87,Bronchiolitis obliterans organising pneumonia,0,45
"The case histories are presented of two patients who developed lung disease associated with the use of nitrofurantoin with histological features of bronchiolitis obliterans organising pneumonia (BOOP), a rare but recognised form of drug induced injury.",nitrofurantoin,103,117,BOOP,195,199
